STT,0,1,clusters,SMILES,pIC50,Molecule
0,18.8568,11.943888,0,O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,10,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77ED0>
1,18.812986,11.60623,0,O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,9.337242168,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77F40>
2,14.6533785,4.624931,0,S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C4CCCC4,9.301029996,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77E60>
3,14.680175,4.568226,0,S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C4CCCCC4,9.22184875,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77DF0>
5,19.758585,4.647552,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCCCN(C)C)C(OC)=C3,9.148741651,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77D10>
6,14.5653105,4.7257423,0,S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C4CCC4,9.096910013,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77CA0>
7,14.30532,9.386034,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=CC=C2)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,9,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77C30>
8,18.826323,11.995549,0,O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,9,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77BC0>
9,26.50913,14.204669,0,COC1=CC=C(N(CC2=CC=C(F)C=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.886056648,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77B50>
10,20.880297,6.240375,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.886056648,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77AE0>
11,14.188552,5.817027,0,S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C(C)C,8.853871964,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77A70>
12,16.480986,12.128552,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.853871964,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77A00>
13,20.66451,7.0234456,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.823908741,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77990>
14,21.864084,17.905989,0,COC1=CC=C(N(CCCCC2=CC=NC(NCCN)=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.795880017,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77920>
15,14.73433,11.549148,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCC4=CC=NC(N)=C4)C(OC)=C3,8.795880017,<rdkit.Chem.rdchem.Mol object at 0x000002B570D778B0>
16,19.884434,6.823484,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.795880017,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77840>
17,17.969484,4.6975956,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCC4=CC=NC(N)=C4)C(OC)=C3,8.769551079,<rdkit.Chem.rdchem.Mol object at 0x000002B570D777D0>
19,20.022572,6.1031995,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.744727495,<rdkit.Chem.rdchem.Mol object at 0x000002B570D776F0>
20,20.91691,9.393446,0,O=C(NCCCN1C(C)=CN=C1)N(C(C)C)C2=CC=C(OCCN3CCN(C)CC3)C(OC)=C2,8.585026652,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77680>
21,16.12549,12.339627,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,8.585026652,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77610>
22,21.027294,4.4990087,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCCN(C)C)C(OC)=C3,8.568636236,<rdkit.Chem.rdchem.Mol object at 0x000002B570D775A0>
23,24.891996,11.068438,0,COC1=CC=C(N(C(C)C)C(NCCCN2C=NC=C2C)=S)C=C1OC,8.552841969,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77530>
24,17.019514,5.5056887,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.552841969,<rdkit.Chem.rdchem.Mol object at 0x000002B570D774C0>
25,16.809204,13.789965,0,O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.494850022,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77450>
26,25.843838,14.856067,0,COC1=CC(N(CC2=CC(F)=CC=C2)C(NCCCN3C=NC=C3C)=S)=CC=C1OC,8.468521083,<rdkit.Chem.rdchem.Mol object at 0x000002B570D773E0>
27,14.437386,8.200253,0,O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.468521083,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77370>
28,9.171699,8.195991,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(CC3=CC=C(F)C=C3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,8.468521083,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77300>
29,25.91016,14.827746,0,COC1=CC=C(N(C(NCCCN2C=NC=C2C)=S)CC3=CC=CC(Cl)=C3)C=C1OC,8.455931956,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77290>
30,16.072876,12.42831,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.455931956,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77220>
32,21.71938,17.654642,0,COC1=CC=C(N(CCCCC2=CC=NC(N)=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.443697499,<rdkit.Chem.rdchem.Mol object at 0x000002B570D77140>
33,16.52468,5.0330267,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.443697499,<rdkit.Chem.rdchem.Mol object at 0x000002B570D770D0>
36,18.329205,5.0491633,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCC4=CC=NC(N)=C4)C(OC)=C3,8.420216403,<rdkit.Chem.rdchem.Mol object at 0x000002B570D76F80>
