,0
0,S=C(NCCCn1ccnc1)Nc1ccc(OCCN2CCNCC2)cc1
1,c1ccc(OCCN2CCNCC2)cc1
2,C1CNCCN1
3,c1ccccc1
4,S=C(NCCCn1ccnc1)Nc1ccccc1
5,c1c[nH]cn1
6,S=C(NCCCn1ccnc1)Nc1ccc(OCCCCc2ccncc2)cc1
7,c1ccc(OCCCCc2ccncc2)cc1
8,c1ccncc1
9,S=C(NCCCn1ccnc1)Nc1ccc(OCCCN2CCNCC2)cc1
10,c1ccc(OCCCN2CCNCC2)cc1
11,O=C(COc1ccc(NC(=S)NCCCn2ccnc2)cc1)NC1CCNCC1
12,O=C(COc1ccccc1)NC1CCNCC1
13,C1CCNCC1
14,S=C(NCCCn1ccnc1)Nc1ccc(OCCC2CCNCC2)cc1
15,c1ccc(OCCC2CCNCC2)cc1
16,S=C(NCCCn1ccnc1)Nc1ccc(OCCCCN2CCNCC2)cc1
17,c1ccc(OCCCCN2CCNCC2)cc1
18,S=C(NCCCn1ccnc1)Nc1ccc(OCCc2ccncc2)cc1
19,c1ccc(OCCc2ccncc2)cc1
20,O=C(CCOc1ccc(NC(=S)NCCCn2ccnc2)cc1)NC1CCNCC1
21,O=C(CCOc1ccccc1)NC1CCNCC1
22,S=C(NCCCn1ccnc1)Nc1ccc(OCCCCNc2ncccn2)cc1
23,c1ccc(OCCCCNc2ncccn2)cc1
24,c1cncnc1
25,S=C(NCCCn1ccnc1)Nc1ccc(OCc2ccc(C3CCNCC3)cc2)cc1
26,c1ccc(OCc2ccc(C3CCNCC3)cc2)cc1
27,c1ccc(C2CCNCC2)cc1
28,c1ccc(COc2ccccc2)cc1
29,S=C(NCCCn1ccnc1)Nc1ccc(OCc2ccccc2)cc1
30,O=C(C=Cc1ccc(NC(=S)NCCCn2ccnc2)cc1)N1CCNCC1
31,O=C(C=Cc1ccccc1)N1CCNCC1
32,O=C(CCCOc1ccc(NC(=S)NCCCn2ccnc2)cc1)N1CCNCC1
33,O=C(CCCOc1ccccc1)N1CCNCC1
34,S=C(NCCCn1ccnc1)Nc1ccc(OCCCC2CCNCC2)cc1
35,c1ccc(OCCCC2CCNCC2)cc1
36,S=C(NCCCn1ccnc1)Nc1cccc(OCCC2CCNCC2)c1
37,S=C(NCCCn1ccnc1)Nc1ccc(OCCc2ccccc2)cc1
38,c1ccc(CCOc2ccccc2)cc1
