SMILES,pIC50
O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,10
O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,9.337242168
S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C4CCCC4,9.301029996
S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C4CCCCC4,9.22184875
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCNCC3)C(OC)=C2,9.15490196
O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCCCN(C)C)C(OC)=C3,9.148741651
S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C4CCC4,9.096910013
O=C(NCCCN1C=NC=C1C)N(CC2=CC=CC=C2)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,9
O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,9
COC1=CC=C(N(CC2=CC=C(F)C=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.886056648
O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.886056648
S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C(C)C,8.853871964
O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.853871964
O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.823908741
COC1=CC=C(N(CCCCC2=CC=NC(NCCN)=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.795880017
O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCC4=CC=NC(N)=C4)C(OC)=C3,8.795880017
O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.795880017
O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCC4=CC=NC(N)=C4)C(OC)=C3,8.769551079
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCC3=CC(NCCN)=NC=C3)C(OC)=C2,8.744727495
O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.744727495
O=C(NCCCN1C(C)=CN=C1)N(C(C)C)C2=CC=C(OCCN3CCN(C)CC3)C(OC)=C2,8.585026652
O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,8.585026652
O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCCN(C)C)C(OC)=C3,8.568636236
COC1=CC=C(N(C(C)C)C(NCCCN2C=NC=C2C)=S)C=C1OC,8.552841969
O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.552841969
O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.494850022
COC1=CC(N(CC2=CC(F)=CC=C2)C(NCCCN3C=NC=C3C)=S)=CC=C1OC,8.468521083
O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.468521083
O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(CC3=CC=C(F)C=C3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,8.468521083
COC1=CC=C(N(C(NCCCN2C=NC=C2C)=S)CC3=CC=CC(Cl)=C3)C=C1OC,8.455931956
O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.455931956
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCOCCN)CC3)C(OC)=C2,8.443697499
COC1=CC=C(N(CCCCC2=CC=NC(N)=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.443697499
O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.443697499
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN(C)C)C=C2)=S,8.431798276
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCN3CCN(CCN)CC3)C(OC)=C2,8.420216403
O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCC4=CC=NC(N)=C4)C(OC)=C3,8.420216403
O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.420216403
COC1=CC=C(N(CC2=CC=C(F)C=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.408935393
O=C(NCCCN1C(C)=CN=C1)N(C2=CC=CC=C2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.408935393
O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C3CCCCC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,8.397940009
O=C(N(C/1C2=CC(C=CN3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\C,8.397940009
O=C(N(C/1C2=CC=C(N3CCCC3)C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/C6CCCC6,8.397940009
O=C(N(C/1C2=CC=CC=C2C(F)(F)F)C3=CC(N=CN4)=C4C=C3)NC1=N/C(C)C(C)(C)C,8.397940009
S=C(N(C/1C2=CC=C(SC)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CN5C6=CC=CC=C6N=N5,8.397940009
O=C(N(C/1C2=CC3=NSN=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCN6CCCC6=O,8.397940009
O=C(N(C/1C2=CC=C(Cl)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CC5=CC=CC=C5,8.397940009
O=C(N(C/1C2=CC(C=CN3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCN6CCOCC6,8.397940009
O=C(N(C/1C2=CC(OCO3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCN6CCCC6=O,8.397940009
O=C(N(C/1C2=CC=C(C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CC5=CC(C=CN6)=C6C=C5,8.397940009
O=C(N(C/1C2=CC(C=CC=C3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/C6CCCC6,8.397940009
O=C(N(C/1C2=CC(C=CN3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CN6C7=CC=CC=C7N=N6,8.397940009
O=C(N(C/1C2=CC(Br)=CC=C2)C3=CC(NC=N4)=C4C=C3)NC1=N/CC5=CC=CC=C5,8.397940009
O=C(N(C/1C2=CC(Br)=CC(Br)=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5CCCC5,8.397940009
O=C(N(C/1C2=C(Br)C=C3C(OCO3)=C2)C4=CC(NC=N5)=C5C=C4)NC1=N/C6CCCCC6,8.397940009
O=C(N(C/1C2=CC=C(Br)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5CCCCC5,8.397940009
O=C(N(C/1C2=CC=C(Cl)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5CCCC5,8.397940009
O=C(N(C/1C2=COC3=C(C=C(C)C=C3)C2=O)C4=CC(N=CN5)=C5C=C4)NC1=N/C6C(C=CC=C7)=C7CC6,8.397940009
O=C(N(C/1C2=CC=C(Br)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CC5=CC=CC=C5,8.397940009
O=C(N(C/1C2=CC=C3C(C=CN3)=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/C6C(C=CC=C7)=C7CC6,8.397940009
O=C(N(C/1C2=C(C)C=C(C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CCC5=CNC6=C5C=CC=C6,8.397940009
O=C(N(C/1C2=C(F)C=CC(Cl)=C2F)C3=CC(N=CN4)=C4C=C3)NC1=N/C5CCCCC5,8.397940009
O=C(N(C/1C2=CC(C=CN3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCC6=CC=CC=C6,8.397940009
O=C(N(C/1C2=CC3=C(NC=C3)C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/C6CCCC6,8.397940009
O=C(N(C/1C2=CNC3=C2C=CC(C)=C3)C4=CC(N=CN5)=C5C=C4)NC1=N\CC6=CC=CC=C6,8.397940009
O=C(N(C/1C2=CC=C(OCCO3)C3=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/C6=CC(OCCO7)=C7C=C6,8.397940009
O=C(N(C/1C2=CC3=NSN=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/C6C(O)CCCC6,8.397940009
O=C(N(C/1C2=CC(Br)=CC=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CCCN5CCCC5=O,8.397940009
O=C(N(C/1C2=CC=C(N(C)C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CC5,8.397940009
O=C(N(C/1C2=C(F)C(Cl)=CC=C2F)C3=CC(NC=N4)=C4C=C3)NC1=N/C(C)C(C)(C)C,8.397940009
O=C(N(C/1C2=CC(C=CN3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCN6CCCC6=O,8.397940009
O=C(N(C/1C2=CC(Br)=CC(Br)=C2)C3=CC(NC=N4)=C4C=C3)NC1=N/C5CCCCCC5,8.397940009
