SMILES,pIC50
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OC)=C2,6.924453039
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCO3)C3=C2,6.732828272
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC3)C3=C2,6.359518563
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(CCO3)C3=C2,6.392544977
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(CCCO3)=C2,6.681936665
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OCCC3)=C2,6.319664487
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(NCCO3)=C2,6.308034897
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OCCN3)=C2,5.970616222
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OCCO3)=C2,7.236572006
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(CCCC3=O)=C2,6.316952962
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(C(CCC3)=O)=C2,6.103473783
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(CCCC3O)=C2,6.284832642
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(C(O)CCC3)=C2,6.090443971
S=C(NCCCN1C(C)=CN=C1)NN2C(NC3=C(C=CC=C3)C2=O)=O,6.910094889
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N(C)C=C3)=C2,5.792365633
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N(C)N=C3)=C2,6.621602099
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(NN=C3)=C2,6.419075024
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(NC=N3)=C2,6.334419009
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CN3C)=C2,6.148130399
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N(C)C=N3)=C2,6.336299075
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CO3)=C2,6.32330639
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=C(C)O3)=C2,6.280668713
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OC=N3)=C2,5.970616222
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OC(C)=N3)=C2,6.482804102
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CS3)=C2,5.913640169
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(SC=N3)=C2,6.311580178
S=C(NCCCN1C(C)=CN=C1)NC2=CC=CC=N2,6.343901798
S=C(NCCCN1C(C)=CN=C1)NC2=NC=C3C(C=CC=C3)=C2,6.28567024
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(C=CC=C3)=N2,6.472370099
S=C(NCCCN1C(C)=CN=C1)NC2=NC=CC3=C2C=CC=C3,6.801342913
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(C=CC=N3)=C2,6.53313238
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CC=C3)=C2,6.11463878
S=C(NCCCN1C(C)=CN=C1)NC2=CC=CC3=C2C=CN=C3,6.262807357
S=C(NCCCN1C(C)=CN=C1)NC2=CC=CC3=C2C=CC=N3,6.425968732
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CC=N3)=C2,5.515700161
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCN,7.519993057
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCN)C=C2)=S,8.27572413
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCN,7.860120914
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCNC)C=C2)=S,7.412289035
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCNC)C=C2)=S,8.161150909
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCNC)C=C2)=S,7.790484985
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCN(C)C,7.413412695
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCN(C)C,7.886056648
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN(C)C)C=C2)=S,8.431798276
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCNC(C)=O)C=C2)=S,7.389339837
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCNC(N)=N,7.385102784
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCNC3=NC=CC=N3,7.404503778
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCNC3=NC=CC=N3,7.756961951
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCNC3=NC=CC=N3,8.244125144
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCNC3=NC=C(F)C=N3,7.732828272
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCNC3=NC=C(F)C=N3,7.756961951
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCN3CCCCC3,7.607303047
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCN3CCCCC3)C=C2)=S,7.872895202
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN3CCCCC3)C=C2)=S,7.903089987
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCN3CCOCC3,7.903089987
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCN3CCOCC3)C=C2)=S,7.850780887
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN3CCOCC3)C=C2)=S,8.036212173
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCN3CCNCC3)C=C2)=S,7.943095149
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN3CCNCC3)C=C2)=S,8.318758763
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCN3CCN(C)CC3,8.13667714
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCN3CCN(C)CC3)C=C2)=S,7.931814138
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN3CCN(C)CC3)C=C2)=S,8.086186148
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3CCNCC3,7.860120914
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3CCNCC3,8.142667504
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3CCNCC3,8.107905397
