,pIC50,pred,residual,squared,leverage,standard
518,5.962573502,5.987746101,-0.025172599,0.00063366,0.163468693,-0.103235736
35,7.519993057,7.495107562,0.024885495,0.000619288,0.106330006,0.102058289
685,5.886056648,5.861096875,0.024959773,0.00062299,0.201541228,0.102362911
408,4.489991487,4.514773004,-0.024781517,0.000614124,0.187890573,-0.101631863
1089,8.397940009,8.37290393,0.025036079,0.000626805,0.150075224,0.102675852
510,5.024568191,5.049648204,-0.025080013,0.000629007,0.177491452,-0.102856031
22,5.970616222,5.945924056,0.024692166,0.000609703,0.213006782,0.101265426
693,5.173925197,5.198580542,-0.024655345,0.000607886,0.238264703,-0.101114416
343,7.899629455,7.924698904,-0.025069449,0.000628477,0.131758831,-0.102812706
1687,6.632644079,5.964559264,0.668084815,0.44633732,0.146844659,2.739892985
219,7.43062609,7.455718721,-0.025092631,0.00062964,0.178888063,-0.102907777
783,5.236572006,5.26118738,-0.024615374,0.000605917,0.241210298,-0.100950491
649,5.30980392,5.285010305,0.024793615,0.000614723,0.188904662,0.10168148
857,4.358525889,4.383131523,-0.024605634,0.000605437,0.221636681,-0.100910549
589,4.627087997,4.65183848,-0.024750483,0.000612586,0.260736346,-0.101504588
238,5.372634143,5.347610565,0.025023578,0.000626179,0.120846106,0.102624585
608,5.140861703,5.116107292,0.024754411,0.000612781,0.152941756,0.101520698
48,8.244125144,8.218847112,0.025278032,0.000638979,0.130828044,0.103668127
362,6.30390584,6.279161101,0.024744739,0.000612302,0.27639906,0.101481032
531,5.023650021,5.024736126,-0.001086105,1.18E-06,0.162252605,-0.004454242
728,5.657577319,5.632497734,0.025079585,0.000628986,0.174123939,0.102854276
679,5.397940009,5.372960801,0.024979208,0.000623961,0.262095768,0.102442619
795,5.119186408,5.144009258,-0.02482285,0.000616174,0.185326614,-0.101801373
1594,8.397940009,8.137811825,0.260128184,0.067666672,0.146523255,1.066815726
369,6.056109952,6.031525995,0.024583957,0.000604371,0.203105806,0.100821648
627,5.657577319,5.645951838,0.011625481,0.000135152,0.18032367,0.04767744
933,5.508638306,5.483753023,0.024885283,0.000619277,0.151731668,0.102057419
629,6.397940009,6.372894369,0.02504564,0.000627284,0.148283833,0.102715064
421,5.540607512,5.515979164,0.024628348,0.000606556,0.166979567,0.101003699
555,7.016824928,6.991730888,0.02509404,0.000629711,0.220923199,0.102913558
771,5.886056648,5.861122979,0.024933669,0.000621688,0.225887594,0.102255854
1276,5.508638306,5.533533945,-0.024895639,0.000619793,0.183107006,-0.102099892
802,5.236572006,5.211563138,0.025008868,0.000625443,0.19347158,0.102564256
1126,5.026872146,5.181006572,-0.154134426,0.023757421,0.214057125,-0.632123081
595,4.437707136,4.462813743,-0.025106607,0.000630342,0.2345078,-0.102965096
12,6.090443971,6.114947863,-0.024503892,0.000600441,0.212198752,-0.100493289
1090,6.397940009,6.372785738,0.025154271,0.000632737,0.184120411,0.103160571
764,5.026872146,5.051727441,-0.024855295,0.000617786,0.454950605,-0.101934436
548,6.790484985,6.765432677,0.025052308,0.000627618,0.181237157,0.102742407
218,7.614393726,7.589539742,0.024853984,0.000617721,0.163368852,0.101929058
370,4.809668302,4.834460317,-0.024792015,0.000614644,0.216768718,-0.101674915
1267,5.30980392,5.334428455,-0.024624535,0.000606368,0.124001693,-0.100988063
823,5.657577319,5.632586891,0.024990428,0.000624521,0.193138757,0.102488631
131,7.872895202,7.89797379,-0.025078588,0.000628936,0.136015726,-0.102850186
1311,7.397940009,7.360622252,0.037317757,0.001392615,0.215013164,0.153044432
570,4.957030927,4.98149143,-0.024460503,0.000598316,0.203431293,-0.100315349
835,5.397940009,5.423082653,-0.025142644,0.000632153,0.175444121,-0.103112888
1533,5.829738285,5.854779612,-0.025041327,0.000627068,0.158569743,-0.102697374
100,7.920818754,7.895991339,0.024827415,0.000616401,0.187679852,0.101820098
1375,7.397940009,7.372982158,0.024957851,0.000622894,0.16004217,0.102355031
820,5.070581074,5.095515262,-0.024934188,0.000621714,0.203818529,-0.102257984
502,6.494850022,6.470345481,0.024504541,0.000600473,0.148578014,0.100495954
1066,5.508638306,5.484168904,0.024469402,0.000598752,0.261067731,0.100351843
886,5.119186408,5.094156971,0.025029437,0.000626473,0.175664654,0.102648613
1243,5.30980392,5.33492326,-0.02511934,0.000630981,0.141372935,-0.103017316
517,6.173925197,6.198630154,-0.024704957,0.000610335,0.163434171,-0.101317883
1541,5.779891912,5.755015365,0.024876547,0.000618843,0.203156873,0.102021591
722,5.30980392,5.28502578,0.02477814,0.000613956,0.212723119,0.101618014
997,5.30980392,5.334846805,-0.025042885,0.000627146,0.25285566,-0.102703764
331,7.821023053,7.796400943,0.02462211,0.000606248,0.171559924,0.100978118
186,7.71219827,7.687189731,0.025008539,0.000625427,0.084263773,0.102562907
409,4.772884917,4.74786033,0.025024587,0.00062623,0.225843943,0.102628723
425,5.211124884,5.186072336,0.025052548,0.00062763,0.157388683,0.102743392
527,6.102372909,6.127122316,-0.024749407,0.000612533,0.126434735,-0.101500176
1429,7.397940009,7.373412061,0.024527948,0.00060162,0.153320025,0.100591946
1448,7.397940009,7.373136759,0.02480325,0.000615201,0.181164659,0.101720995
640,5.657577319,5.632457762,0.025119557,0.000630992,0.173487581,0.103018205
732,5.173925197,5.149083183,0.024842014,0.000617126,0.253201474,0.10187997
415,6.653647026,6.628782439,0.024864587,0.000618248,0.219750655,0.101972544
111,7.823908741,7.84890482,-0.024996079,0.000624804,0.147573596,-0.102511805
735,5.886056648,5.861109678,0.02494697,0.000622351,0.168000016,0.102310404
1532,5.286509457,5.261432597,0.02507686,0.000628849,0.197334101,0.102843098
1024,5.173925197,5.198977739,-0.025052542,0.00062763,0.251554046,-0.102743369
521,6.113509275,6.088343682,0.025165593,0.000633307,0.160420105,0.103207005
1353,7.397940009,7.369886699,0.02805331,0.000786988,0.202274615,0.115049865
1106,5.657577319,5.682695501,-0.025118182,0.000630923,0.219131877,-0.103012567
298,8.568636236,8.271248945,0.297387291,0.088439201,0.115342062,1.219619626
1647,5.8569852,5.881769917,-0.024784717,0.000614282,0.154180753,-0.101644987
49,7.732828272,7.708040528,0.024787744,0.000614432,0.157100439,0.101657401
488,5.274088368,5.298621088,-0.02453272,0.000601854,0.152379867,-0.100611516
1476,5.591760035,5.616310127,-0.024550092,0.000602707,0.184909369,-0.100682761
907,5.173925197,5.198656829,-0.024731632,0.000611654,0.199789053,-0.101427278
471,4.732828272,4.757874304,-0.025046032,0.000627304,0.148068066,-0.102716669
